object1,0.771875,0.581907,0.63325,1.83991,3.87102
object1,0.791182,0.757515,0.755824,2.5597,3.99816
object2,0.372791,0.462069,0.468086,1.53484,1.6994
object2,0.368427,0.685763,0.548664,1.70195,1.92567
object3,0.314492,0.747783,0.286738,0.881081,1.80376
object3,0.803325,0.524138,0.660783,1.72155,3.46934
object4,0.456053,0.22213,0.378032,0.83523,4.02195
object4,0.936058,0.209553,0.386831,0.849155,5.03037
object5,0.183795,0.163071,0.165388,0.369912,0.641911
object5,0.492662,0.140189,0.0985256,0.225355,0.556888
object6,0.486104,0.650246,0.455485,1.18905,2.46722
object6,0.338634,0.508374,0.309615,0.88899,2.39999
object7,0.635271,0.430017,0.575511,1.38687,5.40804
object7,0.744521,0.40045,0.571555,1.37346,5.42946
object8,0.885513,0.383199,0.597239,1.43873,4.11379
object8,0.339998,0.946384,0.406018,3.08185,1.39822
object9,0.778924,0.925026,0.792201,3.73759,5.1452
object9,0.436316,0.721182,0.449595,1.13489,2.22166
object10,0.454359,0.613643,0.562608,1.63578,1.75074
object10,0.431025,0.572629,0.512151,1.45279,1.54488
